url,convocatoria,tema_id,periodo,curso,pais,idioma,id_grupo,codigo_grupo,dias,horario,zona_horaria,tipo_grupo,cupo_total,cupo_disponible,tiene_cupos
https://campus.fimlm.org/inscripcion/j232691l/43/1,j232691l,43,1,Inglés 2,Colombia,Español,4465,IN2-P-05,Viernes,20:00 - 21:30 p.m,America/Bogota,Estudiantes,50,30,Sí
https://campus.fimlm.org/inscripcion/j232691l/43/1,j232691l,43,1,Inglés 2,Colombia,Español,4466,IN2-P-06,Sábado,8:00 - 9:30 a.m,America/Bogota,Estudiantes,50,7,Sí
https://campus.fimlm.org/inscripcion/j232691l/43/1,j232691l,43,1,Inglés 2,Colombia,Español,4659,IN2-P-07,Miércoles,14:00 - 15:30 p.m,America/Bogota,Estudiantes,50,41,Sí
https://campus.fimlm.org/inscripcion/j232691l/43/1,j232691l,43,1,Inglés 2,Colombia,Español,5107,IN2-P-03,Miércoles,10:00 - 11:30 a.m,America/Bogota,Estudiantes,50,40,Sí
https://campus.fimlm.org/inscripcion/j232691l/43/1,j232691l,43,1,Inglés 2,Colombia,Español,5108,IN2-P-04,Sábado,14:00 - 15:30 p.m,America/Bogota,Estudiantes,50,22,Sí
https://campus.fimlm.org/inscripcion/j232691l/20/1,j232691l,20,1,Italiano 1,Colombia,Español,4455,IT-P-01,Jueves,20:00 - 21:30 p.m,America/Bogota,Estudiantes,50,0,No
https://campus.fimlm.org/inscripcion/j232691l/20/1,j232691l,20,1,Italiano 1,Colombia,Español,4456,IT-P-02,Viernes,20:00 - 21:30 p.m,America/Bogota,Estudiantes,50,0,No
https://campus.fimlm.org/inscripcion/j232691l/20/1,j232691l,20,1,Italiano 1,Colombia,Español,4457,IT-P-03,Martes,20:00 - 21:30 p.m,America/Bogota,Estudiantes,50,0,No
https://campus.fimlm.org/inscripcion/j232691l/63/1,j232691l,63,1,"Bisutería 1, 2",Colombia,Español,4232,BT-P-01,Martes,10:00 - 11:30 a.m,America/Bogota,Estudiantes,60,0,No
https://campus.fimlm.org/inscripcion/j232691l/56/1,j232691l,56,1,Confección: Manejo de Máquinas,Colombia,Español,4677,CMM-P-01,Sábado,10:00 - 11:30 a.m,America/Bogota,Estudiantes,60,0,No
